University Name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,early_career_pay,mid_career_pay,american indian / alaska native,black,hispanic,native hawaiian / pacific islander,asian,two or more races,other,total enrollment
Ferris State University,Michigan,MI,Public,Public,4 Year,9894,12630,22524,12630,50000,89300,78,1013,556,7,207,443,12296,14600
Ferrum College,Virginia,VA,Private,Private,4 Year,11500,34175,45675,34175,43000,80600,6,436,77,3,8,69,852,1451
Fisk University,Tennessee,TN,Private,Private,4 Year,10790,21480,32270,21480,45300,83600,0,653,18,1,6,12,82,772
Florida Atlantic University,Florida,FL,Public,Public,4 Year,11896,6039,17935,21595,49400,91200,57,5678,7255,36,1318,924,15029,30297
Florida Institute of Technology,Florida,FL,Private,Private,4 Year,12880,41850,54730,41850,58300,105400,28,533,359,17,174,97,5185,6393
Florida International University,Florida,FL,Public,Public,4 Year,10882,6558,17440,18956,49600,90100,42,5977,31211,57,1434,1042,9847,49610
Florida State University,Florida,FL,Public,Public,4 Year,10816,6516,17332,21683,50800,92700,116,3377,6594,59,1029,1063,28988,41226
Fordham University,New York,NY,Private,Private,4 Year,17969,52687,70656,52687,58700,112500,18,959,1879,15,1164,420,10776,15231
Fort Hays State University,Kansas,KS,Public,Public,4 Year,8300,5133,13433,15201,45100,79300,56,514,877,15,130,281,11952,13825
Fort Lewis College,Colorado,CO,Public,Public,4 Year,9878,9040,18918,19696,48300,82600,887,31,388,8,24,227,2226,3791
Francis Marion University,South Carolina,SC,Public,Public,4 Year,7948,11160,19108,21544,42900,77600,11,1778,56,2,47,38,2012,3944
Franklin Pierce University,New Hampshire,NH,Private,Private,4 Year,13345,36900,50245,36900,47800,85600,10,81,40,3,36,63,2042,2275
Freed-Hardeman University,Tennessee,TN,Private,Private,4 Year,8260,21950,30210,21950,43700,78200,4,230,38,0,10,28,1557,1867
Friends University,Kansas,KS,Private,Private,4 Year,7972,28415,36387,28415,44700,76500,25,204,68,7,51,118,1409,1882
Frostburg State University,Maryland,MD,Public,Public,4 Year,10202,9172,19374,22892,49600,87000,6,1466,244,5,99,223,3602,5645
George Fox University,Oregon,OR,Private,Private,4 Year,11250,36020,47270,36020,51200,89600,24,68,263,19,133,172,3107,3786
George Mason University,Virginia,VA,Public,Public,4 Year,11460,12462,23922,35922,58900,105700,72,3153,3420,122,5001,1209,20752,33729
Georgetown College,Kentucky,KY,Private,Private,4 Year,9780,38650,48430,38650,45000,81900,3,105,38,0,11,34,1071,1262
Georgia Southern University,Georgia,GA,Public,Public,4 Year,10070,7422,17492,20904,49000,88000,89,5249,1235,22,280,383,13259,20517
Georgia State University,Georgia,GA,Public,Public,4 Year,11378,10858,22236,29432,50600,90800,62,11875,2651,27,3386,1335,13220,32556
