university name,American Indian,Black,Hispanic,Pacific Islander,Asian,2+ races,Other,Total Enrollment
Frostburg State University,6,1466,244,5,99,223,3602,5645
George Fox University,24,68,263,19,133,172,3107,3786
George Mason University,72,3153,3420,122,5001,1209,20752,33729
Georgetown College,3,105,38,0,11,34,1071,1262
Georgia Southern University,89,5249,1235,22,280,383,13259,20517
Georgia State University,62,11875,2651,27,3386,1335,13220,32556
Gettysburg College,1,87,113,0,45,70,2131,2447
Goddard College,2,19,24,2,10,9,472,538
Goldey-Beacom College,4,215,28,0,55,26,1684,2012
Gonzaga University,57,119,561,27,289,307,5992,7352
Goucher College,5,218,137,1,55,62,1642,2120
Grambling State University,13,4088,41,2,10,56,294,4504
Green Mountain College,8,34,28,0,7,9,747,833
Grinnell College,3,100,134,0,128,74,1295,1734
Gustavus Adolphus College,2,46,81,1,97,86,2144,2457
Hamline University,25,190,180,5,180,131,3758,4469
Hampden-Sydney College,5,85,23,0,20,60,912,1105
Hampton University,6,3921,50,0,71,1,344,4393
Hanover College,7,55,26,0,16,21,1020,1145
Harding University,46,303,158,1,86,87,5378,6059
Harvey Mudd College,4,13,80,0,167,50,490,804
Hastings College,6,41,67,4,16,33,1045,1212
Haverford College,4,69,102,0,100,70,849,1194
Hawaii Pacific University,24,345,764,128,921,987,2658,5827
Henderson State University,7,846,147,0,23,152,2452,3627
Hendrix College,22,65,65,1,77,9,1119,1358
High Point University,21,246,173,0,61,167,3731,4399
Hofstra University,31,909,1254,78,893,198,7590,10953
Holy Cross College,2,49,56,1,8,18,386,520
Hood College,1,255,138,0,78,73,1820,2365
Hope College,3,85,258,0,54,67,2988,3455
Huntingdon College,14,229,29,2,9,30,847,1160
Husson University,16,147,46,7,73,39,3087,3415
Idaho State University,141,156,1122,28,179,311,11492,13429
Illinois Institute of Technology,12,292,600,13,497,72,6412,7898
Illinois State University,24,1454,1711,18,434,478,16496,20615
Illinois Wesleyan University,5,87,128,1,82,43,1547,1893
Indiana State University,36,2199,395,8,179,374,9992,13183
Iowa State University,80,891,1451,31,940,672,30370,34435
Jackson State University,39,8491,38,1,43,96,800,9508
Jacksonville State University,61,2030,110,7,50,0,6401,8659
Jacksonville University,14,607,277,8,70,113,2996,4085
James Madison University,31,863,1043,39,889,709,17281,20855
Jefferson College of Health Sciences,1,82,40,0,28,14,966,1131
John Brown University,51,108,152,3,34,103,2399,2850
John Carroll University,2,186,110,0,62,77,3251,3688
Johns Hopkins University,35,1419,1498,27,2919,690,14784,21372
Kalamazoo College,2,76,135,3,86,70,1089,1461
Kansas State University,94,954,1419,36,381,695,21187,24766
Kansas Wesleyan University,4,43,89,2,8,14,550,710
Kean University,19,2802,3443,48,802,244,7001,14359
Keene State College,14,48,156,2,56,97,4584,4957
Kennesaw State University,60,4845,1862,39,861,1018,17029,25714
Kentucky Christian University,2,56,8,0,4,7,581,658
Kentucky State University,3,1007,33,4,10,40,798,1895
Kentucky Wesleyan College,1,102,12,0,3,0,591,709
Kenyon College,9,58,100,0,87,59,1349,1662
Kettering College,2,35,25,1,35,15,647,760
Kettering University,4,91,71,2,61,48,1802,2079
Knox College,3,110,175,0,77,56,978,1399
La Salle University,16,1078,462,7,286,349,4044,6242
Lafayette College,3,118,166,1,81,53,2081,2503
Lake Forest College,4,108,243,0,81,57,1133,1626
Lake Superior State University,208,80,58,0,13,0,2048,2407
Lamar University,55,3532,2070,10,478,258,8492,14895
Lander University,4,858,36,2,42,55,1790,2787
Langston University,37,1969,31,0,0,0,445,2482
Lawrence Technological University,13,234,100,1,925,0,2742,4015
Lawrence University,8,51,100,0,60,59,1233,1511
Lehigh University,7,239,475,1,479,139,5779,7119
Lenoir-Rhyne University,12,266,60,1,30,52,1629,2050
LeTourneau University,10,278,227,2,28,99,2023,2667
Lewis & Clark College,55,74,287,10,226,28,2824,3504
Lewis University,8,610,1043,14,204,149,4661,6689
Lewis-Clark State College,99,33,215,13,39,102,3803,4304
Limestone College,9,1521,92,1,11,13,1567,3214
Lindenwood University,46,2019,374,21,58,307,9326,12151
Lindsey Wilson College,12,253,26,1,17,33,2299,2641
Lipscomb University,4,371,225,4,119,66,3700,4489
Longwood University,15,415,229,6,73,164,4194,5096
Loras College,1,39,89,2,13,22,1403,1569
Louisiana College,10,280,40,1,12,12,901,1256
Louisiana Tech University,43,1441,123,16,131,190,9281,11225
Loyola Marymount University,18,585,2190,8,1054,616,5044,9515
Loyola University Chicago,15,920,1793,33,1449,721,10971,15902
