university_name,state,state_abbv,type,degree_length,room_and_board,In-State Tuition,in_state_total,Out-of-State Tuition,out_of_state_total,Early Career Pay,Mid Career Pay,american indian / alaska native,black,hispanic,native hawaiian / pacific islander,asian,two or more races,other,total enrollment,,american indian / alaska native,black,hispanic,native hawaiian / pacific islander,asian,two or more races,other,,state_code,avg_tuition_oos,avg_tuition_is,avg_early_pay,avg_mid_pay
Loyola University Chicago,Illinois,IL,Private,Private,4 Year,14480,44048,58528,44048,53400,96000,15,920,1793,33,1449,721,10971,15902,,0.09%,5.79%,11.28%,0.21%,9.11%,4.53%,68.99%,,,,,,
Loyola University Maryland,Maryland,MD,Private,Private,4 Year,14430,49085,63515,49085,59900,111200,12,465,470,5,190,135,4690,5967,,0.20%,7.79%,7.88%,0.08%,3.18%,2.26%,78.60%,,,,,,
Loyola University New Orleans,Louisiana,LA,Private,Private,4 Year,13380,39692,53072,39692,47900,88600,32,655,541,3,143,133,2823,4330,,0.74%,15.13%,12.49%,0.07%,3.30%,3.07%,65.20%,,,,,,
Luther College,Iowa,IA,Private,Private,4 Year,9460,42290,51750,42290,48200,85900,8,34,80,0,39,49,2175,2385,,0.34%,1.43%,3.35%,0.00%,1.64%,2.05%,91.19%,,,,,,
Lyndon State College,Vermont,VT,Public,Public,4 Year,10598,12074,22672,25394,41500,75100,13,49,48,1,11,28,1280,1430,,0.91%,3.43%,3.36%,0.07%,0.77%,1.96%,89.51%,,,,,,
Lyon College,Arkansas,AR,Private,Private,4 Year,9130,28790,37920,28790,41200,74300,10,47,44,0,11,0,600,712,,1.40%,6.60%,6.18%,0.00%,1.54%,0.00%,84.27%,,,,,,
Macalester College,Minnesota,MN,Private,Private,4 Year,12156,54344,66500,54344,53600,100400,1,49,123,1,146,111,1642,2073,,0.05%,2.36%,5.93%,0.05%,7.04%,5.35%,79.21%,,,,,,
Maharishi University of Management,Iowa,IA,Private,Private,4 Year,7400,16530,23930,16530,46800,85200,3,94,43,0,25,22,1267,1454,,0.21%,6.46%,2.96%,0.00%,1.72%,1.51%,87.14%,,,,,,
Maine College of Art,Maine,ME,Private,Private,4 Year,11890,35000,46890,35000,36300,64600,0,7,27,0,10,22,393,459,,0.00%,1.53%,5.88%,0.00%,2.18%,4.79%,85.62%,,,,,,
Maine Maritime Academy,Maine,ME,Public,Public,4 Year,10310,13478,23788,27098,67000,121800,3,6,8,2,7,0,1034,1060,,0.28%,0.57%,0.75%,0.19%,0.66%,0.00%,97.55%,,,,,,
Manchester University,Indiana,IN,Private,Private,4 Year,9580,32758,42338,32758,46900,84700,2,86,67,0,61,43,1229,1488,,0.13%,5.78%,4.50%,0.00%,4.10%,2.89%,82.59%,,,,,,
Manhattan Christian College,Kansas,KS,Private,Private,4 Year,9092,15850,24942,15850,39400,72200,5,8,9,0,1,3,285,311,,1.61%,2.57%,2.89%,0.00%,0.32%,0.96%,91.64%,,,,,,
Manhattan College,New York,NY,Private,Private,4 Year,16200,43480,59680,43480,64000,125700,7,138,701,0,151,72,2901,3970,,0.18%,3.48%,17.66%,0.00%,3.80%,1.81%,73.07%,,,,,,
Marietta College,Ohio,OH,Private,Private,4 Year,11320,36040,47360,36040,51200,94300,2,69,38,0,20,32,1339,1500,,0.13%,4.60%,2.53%,0.00%,1.33%,2.13%,89.27%,,,,,,
Marquette University,Wisconsin,WI,Private,Private,4 Year,12720,41870,54590,41870,57800,105900,29,463,950,11,527,329,9436,11745,,0.25%,3.94%,8.09%,0.09%,4.49%,2.80%,80.34%,,,,,,
Marshall University,West Virginia,WV,Public,Public,4 Year,10450,8128,18578,18614,45000,79700,47,738,231,10,157,268,11930,13381,,0.35%,5.52%,1.73%,0.07%,1.17%,2.00%,89.16%,,,,,,
Maryland Institute College of Art,Maryland,MD,Private,Private,4 Year,13280,48630,61910,48630,49000,84500,3,137,140,3,259,116,1604,2262,,0.13%,6.06%,6.19%,0.13%,11.45%,5.13%,70.91%,,,,,,
Marymount University,Virginia,VA,Private,Private,4 Year,13190,31466,44656,31466,52300,93100,17,500,451,17,274,109,2073,3441,,0.49%,14.53%,13.11%,0.49%,7.96%,3.17%,60.24%,,,,,,
Maryville College,Tennessee,TN,Private,Private,4 Year,11424,34880,46304,34880,42800,75300,9,135,34,2,14,32,987,1213,,0.74%,11.13%,2.80%,0.16%,1.15%,2.64%,81.37%,,,,,,
Maryville University of Saint Louis,Missouri,MO,Private,Private,4 Year,10088,28470,38558,28470,46800,80100,39,577,219,13,164,142,4777,5931,,0.66%,9.73%,3.69%,0.22%,2.77%,2.39%,80.54%,,,,,,
Massachusetts Institute of Technology,Massachusetts,MA,Private,Private,4 Year,15510,51832,67342,51832,86300,155200,18,344,1087,1,1832,415,7622,11319,,0.16%,3.04%,9.60%,0.01%,16.19%,3.67%,67.34%,,,,,,
Massachusetts Maritime Academy,Massachusetts,MA,Public,Public,4 Year,12675,9724,22399,26102,67900,117500,18,33,42,1,38,10,1355,1497,,1.20%,2.20%,2.81%,0.07%,2.54%,0.67%,90.51%,,,,,,
Mayville State University,North Dakota,ND,Public,Public,4 Year,7840,6666,14506,9399,43700,81300,19,70,51,5,2,32,902,1081,,1.76%,6.48%,4.72%,0.46%,0.19%,2.96%,83.44%,,,,,,
McDaniel College,Maryland,MD,Private,Private,4 Year,11430,43260,54690,43260,51100,94600,15,336,133,3,89,0,2630,3206,,0.47%,10.48%,4.15%,0.09%,2.78%,0.00%,82.03%,,,,,,
McNeese State University,Louisiana,LA,Public,Public,4 Year,8704,7859,16563,18934,50200,88200,53,1421,211,6,121,172,6253,8237,,0.64%,17.25%,2.56%,0.07%,1.47%,2.09%,75.91%,,,,,,
McPherson College,Kansas,KS,Private,Private,4 Year,8788,28951,37739,28951,44500,80900,2,82,74,4,4,18,475,659,,0.30%,12.44%,11.23%,0.61%,0.61%,2.73%,72.08%,,,,,,
MCPHS University,Massachusetts,MA,Private,Private,4 Year,16400,32705,49105,32705,65900,121800,7,330,184,8,1469,24,4913,6935,,0.10%,4.76%,2.65%,0.12%,21.18%,0.35%,70.84%,,,,,,
Menlo College,California,CA,Private,Private,4 Year,14225,42800,57025,42800,61900,112400,6,55,166,21,56,55,435,794,,0.76%,6.93%,20.91%,2.64%,7.05%,6.93%,54.79%,,,,,,
Mercer University,Georgia,GA,Private,Private,4 Year,11616,36894,48510,36894,48500,85100,45,2550,330,12,566,144,4905,8552,,0.53%,29.82%,3.86%,0.14%,6.62%,1.68%,57.36%,,,,,,
Merrimack College,Massachusetts,MA,Private,Private,4 Year,15845,41760,57605,41760,56000,102500,3,99,177,0,45,47,2966,3337,,0.09%,2.97%,5.30%,0.00%,1.35%,1.41%,88.88%,,,,,,
Methodist University,North Carolina,NC,Private,Private,4 Year,12890,33846,46736,33846,45800,80500,20,454,186,5,37,83,1676,2461,,0.81%,18.45%,7.56%,0.20%,1.50%,3.37%,68.10%,,,,,,
Michigan State University,Michigan,MI,Public,Public,4 Year,10322,14460,24782,39765,55300,100800,127,3196,1878,46,2214,1217,41403,50081,,0.25%,6.38%,3.75%,0.09%,4.42%,2.43%,82.67%,,,,,,
Michigan Technological University,Michigan,MI,Public,Public,4 Year,10756,15646,26402,33726,65000,116300,33,95,117,8,82,156,6608,7099,,0.46%,1.34%,1.65%,0.11%,1.16%,2.20%,93.08%,,,,,,
Mid-America Christian University,Oklahoma,OK,Private,Private,4 Year,8036,18334,26370,18334,40700,74100,105,743,180,10,14,100,1536,2688,,3.91%,27.64%,6.70%,0.37%,0.52%,3.72%,57.14%,,,,,,
MidAmerica Nazarene University,Kansas,KS,Private,Private,4 Year,8708,30736,39444,30736,46200,78500,13,203,104,11,28,23,1488,1870,,0.70%,10.86%,5.56%,0.59%,1.50%,1.23%,79.57%,,,,,,
Middle Tennessee State University,Tennessee,TN,Public,Public,4 Year,9436,9206,18642,28364,46500,81100,71,4407,917,22,589,647,16076,22729,,0.31%,19.39%,4.03%,0.10%,2.59%,2.85%,70.73%,,,,,,
Middlebury College,Vermont,VT,Private,Private,4 Year,15530,54450,69980,54450,60400,109800,7,73,220,0,170,118,1945,2533,,0.28%,2.88%,8.69%,0.00%,6.71%,4.66%,76.79%,,,,,,
Midland University,Nebraska,NE,Private,Private,4 Year,8776,32558,41334,32558,43800,78100,5,68,38,6,10,92,1143,1362,,0.37%,4.99%,2.79%,0.44%,0.73%,6.75%,83.92%,,,,,,
Miles College,Alabama,AL,Private,Private,4 Year,7042,11604,18646,11604,34800,65100,0,1732,5,1,0,10,34,1782,,0.00%,97.19%,0.28%,0.06%,0.00%,0.56%,1.91%,,,,,,
Milligan College,Tennessee,TN,Private,Private,4 Year,7100,33700,40800,33700,41200,74900,3,46,52,2,15,19,1027,1164,,0.26%,3.95%,4.47%,0.17%,1.29%,1.63%,88.23%,,,,,,
Millsaps College,Mississippi,MS,Private,Private,4 Year,13730,39910,53640,39910,49300,88700,6,89,18,0,35,6,688,842,,0.71%,10.57%,2.14%,0.00%,4.16%,0.71%,81.71%,,,,,,
Milwaukee School of Engineering,Wisconsin,WI,Private,Private,4 Year,10389,40749,51138,40749,65700,117600,6,72,125,13,86,41,2467,2810,,0.21%,2.56%,4.45%,0.46%,3.06%,1.46%,87.79%,,,,,,
Minneapolis College of Art and Design,Minnesota,MN,Private,Private,4 Year,5610,39210,44820,39210,47400,84700,7,31,48,0,57,0,640,783,,0.89%,3.96%,6.13%,0.00%,7.28%,0.00%,81.74%,,,,,,
Minot State University,North Dakota,ND,Public,Public,4 Year,6610,7064,13674,7064,44500,74100,52,167,167,13,46,100,2865,3410,,1.52%,4.90%,4.90%,0.38%,1.35%,2.93%,84.02%,,,,,,
Mississippi College,Mississippi,MS,Private,Private,4 Year,10300,18026,28326,18026,45200,79500,26,1164,124,5,118,52,3495,4984,,0.52%,23.35%,2.49%,0.10%,2.37%,1.04%,70.12%,,,,,,
Mississippi State University,Mississippi,MS,Public,Public,4 Year,10090,8760,18850,23360,51100,94100,104,3871,457,17,263,273,15153,20138,,0.52%,19.22%,2.27%,0.08%,1.31%,1.36%,75.25%,,,,,,
Mississippi University for Women,Mississippi,MS,Public,Public,4 Year,7424,7040,14464,7040,39500,69500,6,987,20,2,41,12,1628,2696,,0.22%,36.61%,0.74%,0.07%,1.52%,0.45%,60.39%,,,,,,
Mississippi Valley State University,Mississippi,MS,Public,Public,4 Year,8043,6570,14613,6570,32500,61900,1,2033,25,0,13,0,150,2222,,0.05%,91.49%,1.13%,0.00%,0.59%,0.00%,6.75%,,,,,,
Missouri University of Science and Technology,Missouri,MO,Public,Public,4 Year,10274,10169,20443,28499,67300,122600,30,290,256,14,226,167,7657,8640,,0.35%,3.36%,2.96%,0.16%,2.62%,1.93%,88.62%,,,,,,
Monmouth University,New Jersey,NJ,Private,Private,4 Year,13981,38138,52119,38138,52200,93200,8,351,585,7,215,127,5102,6395,,0.13%,5.49%,9.15%,0.11%,3.36%,1.99%,79.78%,,,,,,
Montana Tech of the University of Montana,Montana,MT,Public,Public,4 Year,9656,7411,17067,22574,61200,112600,35,23,34,0,20,1,1972,2085,,1.68%,1.10%,1.63%,0.00%,0.96%,0.05%,94.58%,,,,,,
Montclair State University,New Jersey,NJ,Public,Public,4 Year,15564,12790,28354,20578,50800,95400,13,1946,4447,38,1015,637,11926,20022,,0.06%,9.72%,22.21%,0.19%,5.07%,3.18%,59.56%,,,,,,
Morehead State University,Kentucky,KY,Public,Public,4 Year,9960,9170,19130,13646,41300,74900,20,409,162,12,41,142,10266,11052,,0.18%,3.70%,1.47%,0.11%,0.37%,1.28%,92.89%,,,,,,
Morehouse College,Georgia,GA,Private,Private,4 Year,13438,27574,41012,27574,55700,98700,1,1988,13,0,1,4,102,2109,,0.05%,94.26%,0.62%,0.00%,0.05%,0.19%,4.84%,,,,,,
Morningside College,Iowa,IA,Private,Private,4 Year,9610,31530,41140,31530,44900,82100,10,29,87,5,14,29,2649,2823,,0.35%,1.03%,3.08%,0.18%,0.50%,1.03%,93.84%,,,,,,
Mount Carmel College of Nursing,Ohio,OH,Private,Private,4 Year,5000,13907,18907,13907,56600,99700,4,64,20,2,15,24,955,1084,,0.37%,5.90%,1.85%,0.18%,1.38%,2.21%,88.10%,,,,,,
Mount Marty College,South Dakota,SD,Private,Private,4 Year,7986,27276,35262,27276,41400,76500,29,34,64,5,13,0,1091,1236,,2.35%,2.75%,5.18%,0.40%,1.05%,0.00%,88.27%,,,,,,
Mount Mercy University,Iowa,IA,Private,Private,4 Year,9534,31798,41332,31798,47200,79000,6,74,24,2,25,25,1606,1762,,0.34%,4.20%,1.36%,0.11%,1.42%,1.42%,91.15%,,,,,,
Muhlenberg College,Pennsylvania,PA,Private,Private,4 Year,11765,52595,64360,52595,53400,101900,4,74,155,0,64,36,2107,2440,,0.16%,3.03%,6.35%,0.00%,2.62%,1.48%,86.35%,,,,,,
Multnomah University,Oregon,OR,Private,Private,4 Year,8870,25900,34770,25900,40500,76400,6,28,46,4,9,30,630,753,,0.80%,3.72%,6.11%,0.53%,1.20%,3.98%,83.67%,,,,,,
Murray State University,Kentucky,KY,Public,Public,4 Year,9190,9084,18274,24540,44800,79900,22,776,196,6,99,171,9937,11207,,0.20%,6.92%,1.75%,0.05%,0.88%,1.53%,88.67%,,,,,,
Nebraska Wesleyan University,Nebraska,NE,Private,Private,4 Year,9622,34202,43824,34202,45700,80500,6,60,92,2,38,30,1855,2083,,0.29%,2.88%,4.42%,0.10%,1.82%,1.44%,89.05%,,,,,,
New College of Florida,Florida,FL,Public,Public,4 Year,9264,6919,16183,29944,47300,86500,1,22,127,0,20,38,626,834,,0.12%,2.64%,15.23%,0.00%,2.40%,4.56%,75.06%,,,,,,
New England College,New Hampshire,NH,Private,Private,4 Year,14222,37914,52136,37914,45700,86400,11,411,148,0,48,20,1761,2399,,0.46%,17.13%,6.17%,0.00%,2.00%,0.83%,73.41%,,,,,,
New England Institute of Technology,Rhode Island,RI,Private,Private,4 Year,13065,29940,43005,29940,51700,93200,19,133,283,2,51,29,2405,2922,,0.65%,4.55%,9.69%,0.07%,1.75%,0.99%,82.31%,,,,,,
New Jersey City University,New Jersey,NJ,Public,Public,4 Year,12738,12051,24789,21573,48700,87600,19,1624,2623,0,660,98,3112,8136,,0.23%,19.96%,32.24%,0.00%,8.11%,1.20%,38.25%,,,,,,
New Jersey Institute of Technology,New Jersey,NJ,Public,Public,4 Year,13600,17338,30938,32750,64600,121300,6,899,1749,3,1901,267,5821,10646,,0.06%,8.44%,16.43%,0.03%,17.86%,2.51%,54.68%,,,,,,
New Mexico Highlands University,New Mexico,NM,Public,Public,4 Year,7872,6150,14022,10302,40400,73800,233,163,1891,18,29,43,1169,3546,,6.57%,4.60%,53.33%,0.51%,0.82%,1.21%,32.97%,,,,,,
New Mexico Institute of Mining and Technology,New Mexico,NM,Public,Public,4 Year,8510,7770,16280,22268,64700,120400,54,46,522,2,67,71,1365,2127,,2.54%,2.16%,24.54%,0.09%,3.15%,3.34%,64.17%,,,,,,
New York University,New York,NY,Private,Private,4 Year,18156,51828,69984,51828,63100,117700,94,2374,4267,45,7314,1248,33932,49274,,0.19%,4.82%,8.66%,0.09%,14.84%,2.53%,68.86%,,,,,,
Newberry College,South Carolina,SC,Private,Private,4 Year,10666,26424,37090,26424,41200,74700,4,283,48,1,7,32,718,1093,,0.37%,25.89%,4.39%,0.09%,0.64%,2.93%,65.69%,,,,,,
Newman University,Kansas,KS,Private,Private,4 Year,8326,30724,39050,30724,48000,88500,45,140,362,7,180,93,2860,3687,,1.22%,3.80%,9.82%,0.19%,4.88%,2.52%,77.57%,,,,,,
Nicholls State University,Louisiana,LA,Public,Public,4 Year,9938,7982,17920,9075,44500,84300,117,1242,197,4,70,176,4486,6292,,1.86%,19.74%,3.13%,0.06%,1.11%,2.80%,71.30%,,,,,,
North Carolina Wesleyan College,North Carolina,NC,Private,Private,4 Year,10800,31000,41800,31000,45300,78800,18,895,38,0,11,32,878,1872,,0.96%,47.81%,2.03%,0.00%,0.59%,1.71%,46.90%,,,,,,
North Central College,Illinois,IL,Private,Private,4 Year,11019,38880,49899,38880,50400,92900,3,118,276,2,66,79,2499,3043,,0.10%,3.88%,9.07%,0.07%,2.17%,2.60%,82.12%,,,,,,
Northeastern State University,Oklahoma,OK,Public,Public,4 Year,7638,6650,14288,14720,44500,77600,1754,360,338,9,167,1138,4544,8310,,21.11%,4.33%,4.07%,0.11%,2.01%,13.69%,54.68%,,,,,,
Northeastern University,Massachusetts,MA,Private,Private,4 Year,16880,51387,68267,51387,62500,109700,10,624,1103,7,1753,597,15704,19798,,0.05%,3.15%,5.57%,0.04%,8.85%,3.02%,79.32%,,,,,,
Northern Arizona University,Arizona,AZ,Public,Public,4 Year,10282,11564,21846,25828,49600,90000,838,888,5368,62,468,1337,18744,27705,,3.02%,3.21%,19.38%,0.22%,1.69%,4.83%,67.66%,,,,,,
Northern Illinois University,Illinois,IL,Public,Public,4 Year,10880,12262,23142,12262,53000,95500,30,2825,2531,22,984,569,13650,20611,,0.15%,13.71%,12.28%,0.11%,4.77%,2.76%,66.23%,,,,,,
Northern Kentucky University,Kentucky,KY,Public,Public,4 Year,10022,10032,20054,19680,49000,87400,55,996,379,17,166,252,13225,15090,,0.36%,6.60%,2.51%,0.11%,1.10%,1.67%,87.64%,,,,,,
Northern State University,South Dakota,SD,Public,Public,4 Year,8029,8498,16527,11471,42300,77700,55,49,79,6,31,52,3259,3531,,1.56%,1.39%,2.24%,0.17%,0.88%,1.47%,92.30%,,,,,,
Northwest Christian University,Oregon,OR,Private,Private,4 Year,9300,30050,39350,30050,45200,81100,18,16,57,3,15,24,572,705,,2.55%,2.27%,8.09%,0.43%,2.13%,3.40%,81.13%,,,,,,
Northwest Missouri State University,Missouri,MO,Public,Public,4 Year,10016,9805,19821,16457,46900,85100,20,374,182,8,39,167,5930,6720,,0.30%,5.57%,2.71%,0.12%,0.58%,2.49%,88.24%,,,,,,
Northwest Nazarene University,Idaho,ID,Private,Private,4 Year,7400,29300,36700,29300,46200,80600,14,37,175,9,27,44,1943,2249,,0.62%,1.65%,7.78%,0.40%,1.20%,1.96%,86.39%,,,,,,
Northwestern Oklahoma State University,Oklahoma,OK,Public,Public,4 Year,4780,7036,11816,14153,42200,76800,137,136,150,10,15,11,1707,2166,,6.33%,6.28%,6.93%,0.46%,0.69%,0.51%,78.81%,,,,,,
Northwestern University,Illinois,IL,Private,Private,4 Year,16626,54567,71193,54567,63400,115400,22,1058,1662,12,2865,702,15233,21554,,0.10%,4.91%,7.71%,0.06%,13.29%,3.26%,70.67%,,,,,,
Norwich University,Vermont,VT,Private,Private,4 Year,13840,40016,53856,40016,57000,99100,14,200,249,12,85,144,2968,3672,,0.38%,5.45%,6.78%,0.33%,2.31%,3.92%,80.83%,,,,,,
Notre Dame of Maryland University,Maryland,MD,Private,Private,4 Year,11850,36900,48750,36900,48300,86400,22,631,113,6,188,0,1804,2764,,0.80%,22.83%,4.09%,0.22%,6.80%,0.00%,65.27%,,,,,,
Nova Southeastern University,Florida,FL,Private,Private,4 Year,13250,30900,44150,30900,50200,89800,42,5374,6150,13,1491,428,10650,24148,,0.17%,22.25%,25.47%,0.05%,6.17%,1.77%,44.10%,,,,,,
Oakland University,Michigan,MI,Public,Public,4 Year,10100,12606,22706,24230,51300,93300,79,1601,565,17,955,492,16810,20519,,0.39%,7.80%,2.75%,0.08%,4.65%,2.40%,81.92%,,,,,,
Oakwood University,Alabama,AL,Private,Private,4 Year,9312,16720,26032,16720,43500,78800,11,1629,47,0,9,0,243,1939,,0.57%,84.01%,2.42%,0.00%,0.46%,0.00%,12.53%,,,,,,
Oberlin College,Ohio,OH,Private,Private,4 Year,16338,55054,71392,55054,53100,96800,3,154,215,2,124,168,2312,2978,,0.10%,5.17%,7.22%,0.07%,4.16%,5.64%,77.64%,,,,,,
Oglethorpe University,Georgia,GA,Private,Private,4 Year,13200,38100,51300,38100,52400,91400,3,202,113,0,43,29,704,1094,,0.27%,18.46%,10.33%,0.00%,3.93%,2.65%,64.35%,,,,,,
Ohio Northern University,Ohio,OH,Private,Private,4 Year,11650,32260,43910,32260,54400,103900,4,113,40,3,56,105,3374,3695,,0.11%,3.06%,1.08%,0.08%,1.52%,2.84%,91.31%,,,,,,
Ohio Wesleyan University,Ohio,OH,Private,Private,4 Year,12430,45760,58190,45760,51300,99200,1,116,72,0,40,79,1426,1734,,0.06%,6.69%,4.15%,0.00%,2.31%,4.56%,82.24%,,,,,,
Oklahoma Baptist University,Oklahoma,OK,Private,Private,4 Year,7350,28258,35608,28258,43900,76600,107,118,45,5,17,159,1528,1979,,5.41%,5.96%,2.27%,0.25%,0.86%,8.03%,77.21%,,,,,,
Oklahoma Christian University,Oklahoma,OK,Private,Private,4 Year,8190,22760,30950,22760,49700,87900,48,308,142,1,203,153,1620,2475,,1.94%,12.44%,5.74%,0.04%,8.20%,6.18%,65.45%,,,,,,
Oklahoma City University,Oklahoma,OK,Private,Private,4 Year,8896,31026,39922,31026,47700,87900,87,162,203,1,74,200,2308,3035,,2.87%,5.34%,6.69%,0.03%,2.44%,6.59%,76.05%,,,,,,
Oklahoma Panhandle State University,Oklahoma,OK,Public,Public,4 Year,4695,8194,12889,9133,42300,74400,43,135,211,0,17,34,858,1298,,3.31%,10.40%,16.26%,0.00%,1.31%,2.62%,66.10%,,,,,,
Oklahoma Wesleyan University,Oklahoma,OK,Private,Private,4 Year,8644,26956,35600,26956,43300,78700,97,88,96,3,5,55,1001,1345,,7.21%,6.54%,7.14%,0.22%,0.37%,4.09%,74.42%,,,,,,
Old Dominion University,Virginia,VA,Public,Public,4 Year,11620,10872,22492,29772,50200,89900,89,5980,1578,98,995,1319,14873,24932,,0.36%,23.99%,6.33%,0.39%,3.99%,5.29%,59.65%,,,,,,
Oral Roberts University,Oklahoma,OK,Private,Private,4 Year,9450,27728,37178,27728,45900,85100,113,565,273,0,80,154,2296,3481,,3.25%,16.23%,7.84%,0.00%,2.30%,4.42%,65.96%,,,,,,
Oregon Institute of Technology,Oregon,OR,Public,Public,4 Year,9058,9987,19045,28056,61200,106800,49,58,357,27,232,214,3323,4260,,1.15%,1.36%,8.38%,0.63%,5.45%,5.02%,78.00%,,,,,,
Oregon State University,Oregon,OR,Public,Public,4 Year,12855,11166,24021,30141,56200,104800,172,395,2101,98,1901,1653,22566,28886,,0.60%,1.37%,7.27%,0.34%,6.58%,5.72%,78.12%,,,,,,
Ouachita Baptist University,Arkansas,AR,Private,Private,4 Year,7880,26790,34670,26790,44100,80200,11,129,58,1,13,0,1289,1501,,0.73%,8.59%,3.86%,0.07%,0.87%,0.00%,85.88%,,,,,,
Pacific Lutheran University,Washington,WA,Private,Private,4 Year,10790,42066,52856,42066,54500,98100,28,95,249,24,218,233,2395,3242,,0.86%,2.93%,7.68%,0.74%,6.72%,7.19%,73.87%,,,,,,
Pacific Northwest College of Art,Oregon,OR,Private,Private,4 Year,12860,38250,51110,38250,46300,85000,7,5,27,1,12,62,405,519,,1.35%,0.96%,5.20%,0.19%,2.31%,11.95%,78.03%,,,,,,
Pacific University,Oregon,OR,Private,Private,4 Year,12528,44298,56826,44298,50200,94000,24,58,288,56,507,267,2440,3640,,0.66%,1.59%,7.91%,1.54%,13.93%,7.34%,67.03%,,,,,,
Park University,Missouri,MO,Private,Private,4 Year,8200,12650,20850,12650,48500,85000,80,2014,1337,48,267,307,6739,10792,,0.74%,18.66%,12.39%,0.44%,2.47%,2.84%,62.44%,,,,,,
Peru State College,Nebraska,NE,Public,Public,4 Year,8010,7452,15462,7482,42600,74800,15,182,130,7,31,68,2066,2499,,0.60%,7.28%,5.20%,0.28%,1.24%,2.72%,82.67%,,,,,,
Pfeiffer University,North Carolina,NC,Private,Private,4 Year,11226,30234,41460,30234,44200,78000,6,460,57,1,24,20,1216,1784,,0.34%,25.78%,3.20%,0.06%,1.35%,1.12%,68.16%,,,,,,
Philander Smith College,Arkansas,AR,Private,Private,4 Year,8250,12414,20664,12414,34600,61200,1,512,2,1,3,11,37,567,,0.18%,90.30%,0.35%,0.18%,0.53%,1.94%,6.53%,,,,,,
Pittsburg State University,Kansas,KS,Public,Public,4 Year,7778,7298,15076,18642,47100,84900,104,273,312,10,56,333,6391,7479,,1.39%,3.65%,4.17%,0.13%,0.75%,4.45%,85.45%,,,,,,
Plymouth State University,New Hampshire,NH,Public,Public,4 Year,11100,14099,25199,22769,47000,82200,13,101,122,0,100,61,4458,4855,,0.27%,2.08%,2.51%,0.00%,2.06%,1.26%,91.82%,,,,,,
Pomona College,California,CA,Private,Private,4 Year,16716,52780,69496,52780,63800,117200,4,109,232,2,213,122,968,1650,,0.24%,6.61%,14.06%,0.12%,12.91%,7.39%,58.67%,,,,,,
Portland State University,Oregon,OR,Public,Public,4 Year,10428,9105,19533,27060,50800,90500,376,886,2664,164,2024,1314,20268,27696,,1.36%,3.20%,9.62%,0.59%,7.31%,4.74%,73.18%,,,,,,
Prairie View A&M University,Texas,TX,Public,Public,4 Year,8925,10533,19458,24843,57800,99400,25,7087,229,8,243,58,779,8429,,0.30%,84.08%,2.72%,0.09%,2.88%,0.69%,9.24%,,,,,,
Presbyterian College,South Carolina,SC,Private,Private,4 Year,10480,38660,49140,38660,48800,89900,4,199,28,1,45,23,1160,1460,,0.27%,13.63%,1.92%,0.07%,3.08%,1.58%,79.45%,,,,,,
Prescott College,Arizona,AZ,Private,Private,4 Year,7700,31485,39185,31485,41200,73500,22,24,21,2,12,39,728,848,,2.59%,2.83%,2.48%,0.24%,1.42%,4.60%,85.85%,,,,,,
Princeton University,New Jersey,NJ,Private,Private,4 Year,16290,49330,65620,49330,75200,139400,10,474,571,7,1282,281,5463,8088,,0.12%,5.86%,7.06%,0.09%,15.85%,3.47%,67.54%,,,,,,
Providence College,Rhode Island,RI,Private,Private,4 Year,14700,50390,65090,50390,58900,106900,8,189,318,9,51,77,3881,4533,,0.18%,4.17%,7.02%,0.20%,1.13%,1.70%,85.62%,,,,,,
Queens University of Charlotte,North Carolina,NC,Private,Private,4 Year,10860,34684,45544,34684,49400,86600,9,385,120,1,54,27,1652,2248,,0.40%,17.13%,5.34%,0.04%,2.40%,1.20%,73.49%,,,,,,
Quinnipiac University,Connecticut,CT,Private,Private,4 Year,14540,47960,62500,47960,55900,97700,20,463,694,6,291,140,7421,9035,,0.22%,5.12%,7.68%,0.07%,3.22%,1.55%,82.14%,,,,,,
Radford University,Virginia,VA,Public,Public,4 Year,9406,11210,20616,22845,48900,82900,27,1101,499,20,143,435,7573,9798,,0.28%,11.24%,5.09%,0.20%,1.46%,4.44%,77.29%,,,,,,
Ramapo College of New Jersey,New Jersey,NJ,Public,Public,4 Year,12450,14374,26824,23715,51600,95200,16,319,781,11,377,70,4429,6003,,0.27%,5.31%,13.01%,0.18%,6.28%,1.17%,73.78%,,,,,,
Randolph College,Virginia,VA,Private,Private,4 Year,13580,39585,53165,39585,47000,86100,4,74,31,0,20,24,540,693,,0.58%,10.68%,4.47%,0.00%,2.89%,3.46%,77.92%,,,,,,
Reed College,Oregon,OR,Private,Private,4 Year,14210,56340,70550,56340,56100,104900,4,26,146,3,80,113,1022,1394,,0.29%,1.87%,10.47%,0.22%,5.74%,8.11%,73.31%,,,,,,
Regis University,Colorado,CO,Private,Private,4 Year,11560,36810,48370,36810,55500,94800,57,521,1392,21,428,234,6555,9208,,0.62%,5.66%,15.12%,0.23%,4.65%,2.54%,71.19%,,,,,,
Rensselaer Polytechnic Institute,New York,NY,Private,Private,4 Year,15260,53880,69140,53880,71300,134100,6,182,439,3,629,386,5190,6835,,0.09%,2.66%,6.42%,0.04%,9.20%,5.65%,75.93%,,,,,,
