university_name,state,state_abbv,type,degree_length,room_and_board,In-State Tuition,in_state_total,Out-of-State Tuition,out_of_state_total,Early Career Pay,Mid Career Pay,american indian / alaska native,black,hispanic,native hawaiian / pacific islander,asian,two or more races,other,total enrollment,,american indian / alaska native,black,hispanic,native hawaiian / pacific islander,asian,two or more races,other,,state_code,avg_tuition_oos,avg_tuition_is,avg_early_pay,avg_mid_pay
Bowdoin College,Maine,ME,Private,Private,4 Year,14698,53922,68620,53922,61300,112000,2,88,229,0,114,117,1255,1805,,0.11%,4.88%,12.69%,0.00%,6.32%,6.48%,69.53%,,WV,24873,10150,46720,84800
Bowie State University,Maryland,MD,Public,Public,4 Year,10904,8233,19137,18873,50300,89900,6,4751,147,9,81,168,533,5695,,0.11%,83.42%,2.58%,0.16%,1.42%,2.95%,9.36%,,WI,43031,9678,49931,90369
Bradley University,Illinois,IL,Private,Private,4 Year,10620,33760,44380,33760,55600,104900,10,245,282,5,144,69,4545,5300,,0.19%,4.62%,5.32%,0.09%,2.72%,1.30%,85.75%,,WY,15720,10320,52400,98800
Brandeis University,Massachusetts,MA,Private,Private,4 Year,15440,55395,70835,55395,60600,113200,6,275,323,3,582,118,4638,5945,,0.10%,4.63%,5.43%,0.05%,9.79%,1.98%,78.02%,,,,,,
Brescia University,Kentucky,KY,Private,Private,4 Year,9200,22400,31600,22400,44300,81200,9,133,63,2,3,0,846,1056,,0.85%,12.59%,5.97%,0.19%,0.28%,0.00%,80.11%,,,,,,
Brown University,Rhode Island,RI,Private,Private,4 Year,14670,55656,70326,55656,68200,127600,26,550,894,13,1099,376,6223,9181,,0.28%,5.99%,9.74%,0.14%,11.97%,4.10%,67.78%,,,,,,
Bryant University,Rhode Island,RI,Private,Private,4 Year,15702,43973,59675,43973,60500,108600,12,145,216,5,141,44,2899,3462,,0.35%,4.19%,6.24%,0.14%,4.07%,1.27%,83.74%,,,,,,
Bucknell University,Pennsylvania,PA,Private,Private,4 Year,13662,56092,69754,56092,66700,122900,1,114,187,0,126,124,3072,3624,,0.03%,3.15%,5.16%,0.00%,3.48%,3.42%,84.77%,,,,,,
Butler University,Indiana,IN,Private,Private,4 Year,13830,41120,54950,41120,51800,99300,8,182,146,0,119,91,4302,4848,,0.17%,3.75%,3.01%,0.00%,2.45%,1.88%,88.74%,,,,,,
California Institute of Technology,California,CA,Private,Private,4 Year,15525,52362,67887,52362,84100,151600,4,27,173,1,580,68,1356,2209,,0.18%,1.22%,7.83%,0.05%,26.26%,3.08%,61.39%,,,,,,
Calvin College,Michigan,MI,Private,Private,4 Year,10200,34600,44800,34600,50200,91100,16,94,129,0,173,111,3470,3993,,0.40%,2.35%,3.23%,0.00%,4.33%,2.78%,86.90%,,,,,,
Cameron University,Oklahoma,OK,Public,Public,4 Year,5452,6450,11902,15870,43900,81500,296,861,644,36,93,427,3180,5537,,5.35%,15.55%,11.63%,0.65%,1.68%,7.71%,57.43%,,,,,,
Campbell University,North Carolina,NC,Private,Private,4 Year,11430,32500,43930,32500,46300,82400,40,946,343,9,193,112,4458,6101,,0.66%,15.51%,5.62%,0.15%,3.16%,1.84%,73.07%,,,,,,
